accuracy,loss,val_accuracy,val_loss
0.24033816158771515,1.7234570980072021,0.4166666567325592,1.4084956645965576
0.3442029058933258,1.5228403806686401,0.4444444477558136,1.4952030181884766
0.41485506296157837,1.4136359691619873,0.4027777910232544,1.3520839214324951
0.493961364030838,1.2867324352264404,0.375,1.5238991975784302
0.5169082283973694,1.2545143365859985,0.6111111044883728,1.5386238098144531
0.5410627722740173,1.1673433780670166,0.5555555820465088,1.0294362306594849
0.5646135210990906,1.1220669746398926,0.625,0.8955008387565613
0.6781401038169861,0.8554316759109497,0.7916666865348816,0.5455233454704285
0.7463768124580383,0.6852099299430847,0.9027777910232544,0.3572942018508911
0.8152173757553101,0.5272776484489441,0.9305555820465088,0.24683433771133423
0.8496376872062683,0.44456809759140015,0.9305555820465088,0.2009803205728531
0.85326087474823,0.44392910599708557,0.9444444179534912,0.201442688703537
0.8508453965187073,0.4477841258049011,0.9861111044883728,0.1287965178489685
0.8792270421981812,0.365379273891449,0.9305555820465088,0.2636929452419281
0.873792290687561,0.3685033321380615,0.9861111044883728,0.08618984371423721
0.885869562625885,0.3520459234714508,0.9583333134651184,0.18252766132354736
0.9027777910232544,0.28144124150276184,0.9722222089767456,0.0840817540884018
0.8756038546562195,0.3679760694503784,1.0,0.13956111669540405
0.9154589176177979,0.2590327560901642,0.9861111044883728,0.08004377782344818
0.9341787695884705,0.20467199385166168,0.9166666865348816,0.359260618686676
