accuracy,loss,val_accuracy,val_loss,learning_rate
0.9317632913589478,0.20570771396160126,0.9722222089767456,0.14417943358421326,0.0010000000474974513
0.9323671460151672,0.2026200294494629,1.0,0.03570834919810295,0.0010000000474974513
0.9112318754196167,0.2664587199687958,1.0,0.0426873154938221,0.0010000000474974513
0.9245169162750244,0.21299123764038086,1.0,0.04161496460437775,0.0010000000474974513
0.9335748553276062,0.20833586156368256,1.0,0.06773410737514496,0.0010000000474974513
0.9528985619544983,0.14403223991394043,0.9861111044883728,0.05466623604297638,0.00010000000474974513
0.9571256041526794,0.13172505795955658,1.0,0.03932402282953262,0.00010000000474974513
0.9559178948402405,0.12391475588083267,1.0,0.03345407173037529,0.00010000000474974513
0.9595410823822021,0.12081030011177063,1.0,0.03147638216614723,0.00010000000474974513
0.9583333134651184,0.11014419794082642,1.0,0.04419456794857979,0.00010000000474974513
0.9692028760910034,0.10630884021520615,1.0,0.030843131244182587,0.00010000000474974513
0.9679951667785645,0.10613986849784851,1.0,0.022521071135997772,0.00010000000474974513
0.9625604152679443,0.10775197297334671,0.9861111044883728,0.048589665442705154,0.00010000000474974513
0.9679951667785645,0.10776644945144653,1.0,0.030558977276086807,0.00010000000474974513
0.9619565010070801,0.10466711968183517,1.0,0.031804874539375305,0.00010000000474974513
0.977053165435791,0.09602978825569153,1.0,0.021413559094071388,1.0000000656873453e-05
0.9740338325500488,0.09487048536539078,1.0,0.023899128660559654,1.0000000656873453e-05
0.9655796885490417,0.08821392804384232,1.0,0.021592818200588226,1.0000000656873453e-05
0.9637681245803833,0.09927279502153397,1.0,0.023469604551792145,1.0000000656873453e-05
0.9698067903518677,0.08590216934680939,1.0,0.023298541083931923,1.0000001111620804e-06
0.9710144996643066,0.09692886471748352,1.0,0.023777635768055916,1.0000001111620804e-06
0.966183602809906,0.09962882846593857,1.0,0.022687675431370735,1.0000001111620804e-06
